epoch,tag,crash_rate,crashes,population,rolled_back
0,baseline,0.001,2,2000,0
1,baseline,0.0015,3,2000,0
2,baseline,0.004,8,2000,0
3,baseline,0.002,4,2000,0
4,baseline,0.002,4,2000,0
5,wave_1%,0.001,2,2000,0
6,wave_1%,0.0005,1,2000,0
7,wave_1%,0.002,4,2000,0
8,wave_1%,0.0005,1,2000,0
9,wave_1%,0.001,2,2000,0
10,wave_1%,0.0025,5,2000,0
11,wave_1%,0.001,2,2000,0
12,wave_1%,0.002,4,2000,0
13,wave_1%,0.002,4,2000,0
14,wave_1%,0.002,4,2000,0
15,wave_10%,0.002,4,2000,0
16,wave_10%,0.0045,9,2000,0
17,wave_10%,0.005,10,2000,0
18,wave_10%,0.004,8,2000,0
19,wave_10%,0.0015,3,2000,0
20,wave_10%,0.0045,9,2000,0
21,wave_10%,0.0005,1,2000,0
22,wave_10%,0.0025,5,2000,0
23,wave_10%,0.001,2,2000,0
24,wave_10%,0.0015,3,2000,0
25,wave_50%,0.005,10,2000,0
26,wave_50%,0.001,2,2000,0
27,wave_50%,0.0035,7,2000,0
28,wave_50%,0.0035,7,2000,0
29,wave_50%,0.0015,3,2000,0
30,wave_50%,0.0015,3,2000,0
31,wave_50%,0.005,10,2000,0
32,wave_50%,0.0015,3,2000,0
33,wave_50%,0.005,10,2000,0
34,wave_50%,0.002,4,2000,0
35,wave_100%,0.004,8,2000,0
36,wave_100%,0.0055,11,2000,0
37,wave_100%,0.0045,9,2000,0
38,wave_100%,0.008,16,2000,0
39,wave_100%,0.004,8,2000,0
40,wave_100%,0.0035,7,2000,0
41,wave_100%,0.001,2,2000,0
42,wave_100%,0.005,10,2000,0
43,wave_100%,0.006,12,2000,0
44,wave_100%,0.0035,7,2000,1
